uid,login,password,token
1044365881,yndx-sh-e2e-0000,simple123456,AgAAAAA-P8I5AAUnAuWqi8s5400No7H4RZF06aU
1044365895,yndx-sh-e2e-0001,simple123456,AgAAAAA-P8JHAAUnAvMZ7wmOqU6MrU5zneqXb8o
1044365898,yndx-sh-e2e-0002,simple123456,AgAAAAA-P8JKAAUnAv9C8cVCBk5TpP2IqiFdxmg
1044365906,yndx-sh-e2e-0003,simple123456,AgAAAAA-P8JSAAUnAvCDfcQJekDAkyhJ9b515s0
1044365914,yndx-sh-e2e-0004,simple123456,AgAAAAA-P8JaAAUnAktGAMbfbkC0hYVnEOTy31M
1044365923,yndx-sh-e2e-0005,simple123456,AgAAAAA-P8JjAAUnAsv9v2hs8UcUi1-hXhilPzI
1044365927,yndx-sh-e2e-0006,simple123456,AgAAAAA-P8JnAAUnAmhaJCJNW0jqucxVgIX1gsw
1044365935,yndx-sh-e2e-0007,simple123456,AgAAAAA-P8JvAAUnAtUtxd3GkUiavNcWpJK805k
1044365942,yndx-sh-e2e-0008,simple123456,AgAAAAA-P8J2AAUnAmDAYVFhkk-rrHNDqwIQAQU
1044365950,yndx-sh-e2e-0009,simple123456,AgAAAAA-P8J-AAUnAhEgrCEQcUovmfV6Ff_i1FU
1044365959,yndx-sh-e2e-0010,simple123456,AgAAAAA-P8KHAAUnAoIFH_uRG0_UqQYCs8RL91A
1044365963,yndx-sh-e2e-0011,simple123456,AgAAAAA-P8KLAAUnAsKTKmNp8EPwlJWWz1uyMi0
1044365966,yndx-sh-e2e-0012,simple123456,AgAAAAA-P8KOAAUnAlnnG8t2FU4omoh_Ai-644w
1044365976,yndx-sh-e2e-0013,simple123456,AgAAAAA-P8KYAAUnAn6XV-FiqEaTqri_5qKvYhM
1044365983,yndx-sh-e2e-0014,simple123456,AgAAAAA-P8KfAAUnAk1WsIMJBkwJtpPuyucEORk
1044365989,yndx-sh-e2e-0015,simple123456,AgAAAAA-P8KlAAUnAvFFAwC-BUtOg9fIPKFw9G4
1044366003,yndx-sh-e2e-0016,simple123456,AgAAAAA-P8KzAAUnAm_-Lcc3b0WIilRILbUlHFg
1044366009,yndx-sh-e2e-0017,simple123456,AgAAAAA-P8K5AAUnAoTyJD5vj0qpn8YHy1ViHXY
1044366013,yndx-sh-e2e-0018,simple123456,AgAAAAA-P8K9AAUnAtP7-tXIl03pvzcLIh-7SNE
1044366022,yndx-sh-e2e-0019,simple123456,AgAAAAA-P8LGAAUnAoaqTHtNPkIYn0RVcGVsmc4
1044366026,yndx-sh-e2e-0020,simple123456,AgAAAAA-P8LKAAUnAqLaONrqfE72j_i9tKgNE-o
1044366030,yndx-sh-e2e-0021,simple123456,AgAAAAA-P8LOAAUnAjvfKB7cGUpJpfET8uoGulM
1044366041,yndx-sh-e2e-0022,simple123456,AgAAAAA-P8LZAAUnAljFOJZ-80Z5p8oflMNdKzA
1044366054,yndx-sh-e2e-0023,simple123456,AgAAAAA-P8LmAAUnAh-LEunme01BkL1TQ6utS7w
1044366061,yndx-sh-e2e-0024,simple123456,AgAAAAA-P8LtAAUnAhKgKOVF70Mpr4fUSHBx3dw
1044366071,yndx-sh-e2e-0025,simple123456,AgAAAAA-P8L3AAUnAoKKdAqa8kVLmkZAv6_5_LM
1044366077,yndx-sh-e2e-0026,simple123456,AgAAAAA-P8L9AAUnAgoqVaLvm01zqFRj-lDstdI
1044366083,yndx-sh-e2e-0027,simple123456,AgAAAAA-P8MDAAUnAgHfrmi65US6mbkQFviYWeM
1044366090,yndx-sh-e2e-0028,simple123456,AgAAAAA-P8MKAAUnApVT4JvhXEiCj7mgNp2aqRk
1044366096,yndx-sh-e2e-0029,simple123456,AgAAAAA-P8MQAAUnAjTvvoizI02BvdatrpiO7uE
1044366104,yndx-sh-e2e-0030,simple123456,AgAAAAA-P8MYAAUnAuTKlGpp70RNj6_DALP50rc
1044366109,yndx-sh-e2e-0031,simple123456,AgAAAAA-P8MdAAUnAhYSRq_oEEKjlk4kDWbsjRM
1044366116,yndx-sh-e2e-0032,simple123456,AgAAAAA-P8MkAAUnAmf_QfI5iUWEk8qA5n3jpRw
1044366125,yndx-sh-e2e-0033,simple123456,AgAAAAA-P8MtAAUnArEQSWv1MEqzkkH9BKQagq8
1044366139,yndx-sh-e2e-0034,simple123456,AgAAAAA-P8M7AAUnAvYwYPYftEsngJDwBT8lt3w
1044366144,yndx-sh-e2e-0035,simple123456,AgAAAAA-P8NAAAUnAh57zjqa9U3djVHua9-kOfM
1044366153,yndx-sh-e2e-0036,simple123456,AgAAAAA-P8NJAAUnAvC-eORY4EBGuZi3xo2K-n4
